Symbol,Date,Close
UNL,7/24/2019,20000
UNL,7/21/2019,20000
UNL,7/17/2019,20400
UNL,7/14/2019,20250
UNL,7/7/2019,20250
UNL,7/3/2019,20035
UNL,6/30/2019,19649
UNL,6/27/2019,19264
UNL,6/25/2019,19264
UNL,6/24/2019,18517
UNL,6/23/2019,18894
UNL,6/20/2019,19279
UNL,6/19/2019,19672
UNL,6/18/2019,19287
UNL,6/16/2019,19680
UNL,6/13/2019,19304
UNL,6/12/2019,19696
UNL,6/11/2019,19700
UNL,6/10/2019,19590
UNL,6/6/2019,19210
UNL,6/3/2019,19600
UNL,5/30/2019,20000
UNL,5/29/2019,19630
UNL,5/28/2019,19250
UNL,5/27/2019,19600
UNL,5/23/2019,20000
UNL,5/20/2019,20000
UNL,5/19/2019,20000
UNL,5/15/2019,20000
UNL,5/14/2019,19796
UNL,5/13/2019,20200
UNL,5/12/2019,20200
UNL,5/9/2019,20000
UNL,5/8/2019,20500
UNL,5/5/2019,20282
UNL,5/2/2019,20282
UNL,4/30/2019,20695
UNL,4/29/2019,21117
UNL,4/28/2019,20703
UNL,4/25/2019,20298
UNL,4/24/2019,19900
UNL,4/23/2019,19743
UNL,4/22/2019,18977
UNL,4/11/2019,18241
UNL,4/10/2019,18992
UNL,4/9/2019,19000
UNL,3/31/2019,19700
UNL,3/28/2019,19379
UNL,3/27/2019,19293
UNL,3/26/2019,19300
UNL,3/25/2019,19000
UNL,3/17/2019,19380
UNL,3/14/2019,19000
UNL,3/13/2019,19000
UNL,3/12/2019,19380
UNL,3/11/2019,19000
UNL,3/10/2019,19000
UNL,3/9/2019,19000
UNL,3/7/2019,19105
UNL,3/5/2019,19492
UNL,3/3/2019,19110
UNL,2/27/2019,19500
UNL,2/24/2019,19621
UNL,2/19/2019,18860
UNL,2/18/2019,18863
UNL,2/17/2019,19247
UNL,2/13/2019,18870
UNL,2/11/2019,17803
UNL,2/6/2019,18166
UNL,2/5/2019,18536
UNL,2/4/2019,18914
UNL,2/3/2019,19300
UNL,1/31/2019,19657
UNL,1/30/2019,19272
UNL,1/27/2019,20475
UNL,1/24/2019,20892
UNL,1/23/2019,20500
UNL,1/22/2019,21109
UNL,1/21/2019,22883
UNL,11/25/2018,23402
UNL,10/31/2018,23899
UNL,10/25/2018,23431
UNL,10/24/2018,22522
UNL,10/23/2018,22081
UNL,10/22/2018,21649
UNL,10/21/2018,22540
